RunID,ScenarioID,ExpectedCorrelation,ObservedCorrelation,CorrelatedEventCount,MinCorrelationMinutes,HighestCorrelatedScore,HighestCorrelatedClass
A4-R01,A4,False,False,0,,,
A4-R02,A4,False,False,0,,,
A4-R03,A4,False,False,0,,,
A4-R04,A4,False,False,0,,,
A4-R05,A4,False,False,0,,,
A5-R1,A5,True,True,2,0.102,22,Likely Malicious
A5-R2,A5,True,True,2,0.102,22,Likely Malicious
A5-R3,A5,True,True,2,0.102,22,Likely Malicious
A5-R4,A5,True,True,2,0.102,22,Likely Malicious
A5-R5,A5,True,True,2,0.102,22,Likely Malicious
U1-R1,U1,False,False,0,,,
U1-R2,U1,False,False,0,,,
U1-R3,U1,False,False,0,,,
U1-R4,U1,False,False,0,,,
U1-R5,U1,False,False,0,,,
