Evaluation variant,Classification,Support,Precision,Recall,F1,Most frequent confusion
Severity-only host baseline,Legitimate,0,0.0,,,NONE
Severity-only host baseline,Low Suspicion,0,,,,NONE
Severity-only host baseline,Suspicious,10,,0.0,,Legitimate
Severity-only host baseline,Likely Malicious,5,,0.0,,Legitimate
Network-only contextual analysis,Legitimate,0,,,,NONE
Network-only contextual analysis,Low Suspicion,0,0.0,,,NONE
Network-only contextual analysis,Suspicious,10,1.0,0.5,0.6667,Likely Malicious
Network-only contextual analysis,Likely Malicious,5,0.0,0.0,,Low Suspicion
Network-only contextual analysis,Macro average,15,1.0,0.5,0.6667,–
Contextual analysis without correlation,Legitimate,0,,,,NONE
Contextual analysis without correlation,Low Suspicion,0,0.0,,,NONE
Contextual analysis without correlation,Suspicious,10,1.0,0.5,0.6667,Likely Malicious
Contextual analysis without correlation,Likely Malicious,5,0.0,0.0,,Low Suspicion
Contextual analysis without correlation,Macro average,15,1.0,0.5,0.6667,–
Full proposed framework,Legitimate,0,,,,NONE
Full proposed framework,Low Suspicion,0,,,,NONE
Full proposed framework,Suspicious,10,1.0,0.5,0.6667,Likely Malicious
Full proposed framework,Likely Malicious,5,0.5,1.0,0.6667,NONE
Full proposed framework,Macro average,15,0.75,0.75,0.6667,–
