Evaluation variant,ActualClass,PredictedClass,Count
Severity-only host baseline,Legitimate,Legitimate,5
Severity-only host baseline,Legitimate,Low Suspicion,0
Severity-only host baseline,Legitimate,Suspicious,0
Severity-only host baseline,Legitimate,Likely Malicious,0
Severity-only host baseline,Low Suspicion,Legitimate,5
Severity-only host baseline,Low Suspicion,Low Suspicion,0
Severity-only host baseline,Low Suspicion,Suspicious,0
Severity-only host baseline,Low Suspicion,Likely Malicious,0
Severity-only host baseline,Suspicious,Legitimate,20
Severity-only host baseline,Suspicious,Low Suspicion,0
Severity-only host baseline,Suspicious,Suspicious,0
Severity-only host baseline,Suspicious,Likely Malicious,0
Severity-only host baseline,Likely Malicious,Legitimate,5
Severity-only host baseline,Likely Malicious,Low Suspicion,5
Severity-only host baseline,Likely Malicious,Suspicious,0
Severity-only host baseline,Likely Malicious,Likely Malicious,0
Network-only contextual analysis,Legitimate,Legitimate,0
Network-only contextual analysis,Legitimate,Low Suspicion,5
Network-only contextual analysis,Legitimate,Suspicious,0
Network-only contextual analysis,Legitimate,Likely Malicious,0
Network-only contextual analysis,Low Suspicion,Legitimate,0
Network-only contextual analysis,Low Suspicion,Low Suspicion,5
Network-only contextual analysis,Low Suspicion,Suspicious,0
Network-only contextual analysis,Low Suspicion,Likely Malicious,0
Network-only contextual analysis,Suspicious,Legitimate,0
Network-only contextual analysis,Suspicious,Low Suspicion,0
Network-only contextual analysis,Suspicious,Suspicious,10
Network-only contextual analysis,Suspicious,Likely Malicious,10
Network-only contextual analysis,Likely Malicious,Legitimate,0
Network-only contextual analysis,Likely Malicious,Low Suspicion,5
Network-only contextual analysis,Likely Malicious,Suspicious,0
Network-only contextual analysis,Likely Malicious,Likely Malicious,5
Contextual analysis without correlation,Legitimate,Legitimate,0
Contextual analysis without correlation,Legitimate,Low Suspicion,5
Contextual analysis without correlation,Legitimate,Suspicious,0
Contextual analysis without correlation,Legitimate,Likely Malicious,0
Contextual analysis without correlation,Low Suspicion,Legitimate,0
Contextual analysis without correlation,Low Suspicion,Low Suspicion,5
Contextual analysis without correlation,Low Suspicion,Suspicious,0
Contextual analysis without correlation,Low Suspicion,Likely Malicious,0
Contextual analysis without correlation,Suspicious,Legitimate,0
Contextual analysis without correlation,Suspicious,Low Suspicion,0
Contextual analysis without correlation,Suspicious,Suspicious,10
Contextual analysis without correlation,Suspicious,Likely Malicious,10
Contextual analysis without correlation,Likely Malicious,Legitimate,0
Contextual analysis without correlation,Likely Malicious,Low Suspicion,5
Contextual analysis without correlation,Likely Malicious,Suspicious,0
Contextual analysis without correlation,Likely Malicious,Likely Malicious,5
Full proposed framework,Legitimate,Legitimate,0
Full proposed framework,Legitimate,Low Suspicion,5
Full proposed framework,Legitimate,Suspicious,0
Full proposed framework,Legitimate,Likely Malicious,0
Full proposed framework,Low Suspicion,Legitimate,0
Full proposed framework,Low Suspicion,Low Suspicion,5
Full proposed framework,Low Suspicion,Suspicious,0
Full proposed framework,Low Suspicion,Likely Malicious,0
Full proposed framework,Suspicious,Legitimate,0
Full proposed framework,Suspicious,Low Suspicion,0
Full proposed framework,Suspicious,Suspicious,10
Full proposed framework,Suspicious,Likely Malicious,10
Full proposed framework,Likely Malicious,Legitimate,0
Full proposed framework,Likely Malicious,Low Suspicion,0
Full proposed framework,Likely Malicious,Suspicious,0
Full proposed framework,Likely Malicious,Likely Malicious,10
